,map_unit_id,map_unit_name,meadow,map_unit_area,breed_pre,ls_breed_pre,breed_overall_pre,breed_facres_pre,summer_pre,ls_summer_pre,summer_overall_pre,summer_facres_pre,winter_pre,ls_winter_pre,winter_overall_pre,winter_facres_pre,breed_post,ls_breed_post,breed_overall_post,breed_facres_post,summer_post,ls_summer_post,summer_overall_post,summer_facres_post,winter_post,ls_winter_post,winter_overall_post,winter_facres_post,breed_delta,summer_delta,winter_delta,mgmt_multiplier,meadow_multiplier,breed_credits,summer_credits,winter_credits,habitat_type,credits,total_contribution,reserve_credits,saleable_credits
0,1,First Creek Disturbed Sagebrush ,No Meadow,514.0481305,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.0,0.0,0.0,1.2000000211150128,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
1,2,First Creek Meadow-U,Unaltered,4.547157718,0.0,0.68879386144025,0.0,0.0,0.46155,0.699352720609078,0.32278624819712,1.467759979753798,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.68879386144025,0.0,0.0,0.46155,0.699352720609078,0.32278624819712,1.467759979753798,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.0,0.0,1.2,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
2,3,First Creek Mountain Sage Mix,No Meadow,842.3271952,0.21574,0.694079117444933,0.14974062879756983,126.13060386254135,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,1.0,0.397554729338879,0.397554729338879,334.8711601025131,0.21919000000000002,0.694079117444933,0.15213520175275488,128.14761778358414,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,1.0,0.397554729338879,0.397554729338879,334.8711601025131,2.017013921042789,0.0,0.0,1.2000000133217792,0.0,2.420416732121561,0.0,0.0,Breeding,2.420416732121561,0.11,0.2662458405333717,2.154170891588189
3,4,NFLH Big Sagebrush,No Meadow,285.0895109,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.875,0.288295072643563,0.25225818856311766,71.91616359797918,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.9099999999999999,0.288295072643563,0.2623485161056423,74.79281014189833,0.0,0.0,2.8766465439191506,1.1999999999999997,0.0,0.0,0.0,3.45197585270298,Winter,3.45197585270298,0.11,0.3797173437973278,3.072258508905652
4,5,NFLH Channel-U,Unaltered,25.47470026,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.0,0.0,0.0,1.2000000000000002,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
5,6,NFLH Disturbed Greasewood Mix,No Meadow,75.53118956,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
6,7,NFLH Disturbed Sagebrush,No Meadow,439.0405986,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.0,0.0,1.1999999984071559,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
7,8,NFLH Greasewood Mix 2,No Meadow,436.5244326,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
8,9,NFLH Meadow-A,Altered,1.44593919,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,,,1.2,8.0,,,,None,,0.11,,
9,10,SFLH Big Sagebrush,No Meadow,838.2566957,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.875,0.332354813181493,0.2908104615338064,243.7738165603205,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.9099999999999999,0.332354813181493,0.3024428799951586,253.5247692227333,0.0,0.0,9.7509526624128,1.2000000143798404,0.0,0.0,0.0,11.701143335112503,Winter,11.701143335112503,0.11,1.2871257668623755,10.414017568250127
10,12,SFLH Disturbed Sagebrush,No Meadow,563.3727268,0.0,0.594238575812001,0.0,0.0,0.0,0.771864415314452,0.0,0.0,0.0,0.407927400969513,0.0,0.0,0.0,0.594238575812001,0.0,0.0,0.0,0.771864415314452,0.0,0.0,0.0,0.407927400969513,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
11,13,SFLH Greasewood Mix 2,No Meadow,58.94992104,0.22499999999999998,0.544409772575791,0.12249219882955298,7.220905449018129,0.15794999999999998,0.794930154506159,0.1255592179042478,7.401705981299561,1.0,0.218706857870059,0.218706857870059,12.89275200234648,0.22499999999999998,0.544409772575791,0.12249219882955298,7.220905449018129,0.15794999999999998,0.794930154506159,0.1255592179042478,7.401705981299561,1.0,0.218706857870059,0.218706857870059,12.89275200234648,0.0,0.0,0.0,1.2000000736066783,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
12,14,SFLH Meadow-A,Altered,149.6917473,0.3625,0.479607223363888,0.1738576184694094,26.025050690102645,0.19320589375,0.710820991606804,0.1373348049796538,20.55788692250912,0.0,0.114365791306896,0.0,0.0,0.3625,0.479607223363888,0.1738576184694094,26.025050690102645,0.19320589375,0.710820991606804,0.1373348049796538,20.55788692250912,0.0,0.114365791306896,0.0,0.0,0.0,0.0,0.0,1.2,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
13,15,SFLH Meadow-U,Unaltered,30.50475985,0.45,0.51871260014527,0.2334206700653715,7.120441484370241,0.92875,0.773485828246643,0.7183749629840697,21.913855728081685,0.0,0.224713466394303,0.0,0.0,0.45,0.51871260014527,0.2334206700653715,7.120441484370241,0.92875,0.773485828246643,0.7183749629840697,21.913855728081685,0.0,0.224713466394303,0.0,0.0,0.0,0.0,0.0,1.2,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
14,16,SFLH Sodic Mix 1,No Meadow,34.59620489,0.0,0.560575492631376,0.0,0.0,0.49375,0.796757873776671,0.3933992001772313,13.61011933289362,0.0,0.230499980511603,0.0,0.0,0.0,0.560575492631376,0.0,0.0,0.49375,0.796757873776671,0.3933992001772313,13.61011933289362,0.0,0.230499980511603,0.0,0.0,0.0,0.0,0.0,1.2000000716266095,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
15,17,Snowstorm Mountains Disturbed Sagebrush,No Meadow,1004.239271,0.518,0.707781694390809,0.36663091769443906,368.1851655115245,1.0,0.700099377216477,0.700099377216477,703.0672882034289,0.315,0.442046501219534,0.1392446478841532,139.8349436818337,0.56,0.707781694390809,0.39635774885885305,398.0380167692157,1.0,0.700099377216477,0.700099377216477,703.0672882034289,0.315,0.442046501219534,0.1392446478841532,139.8349436818337,29.852851257691214,0.0,0.0,1.2,0.0,35.823421509229455,0.0,0.0,Breeding,35.823421509229455,0.11,3.94057636601524,31.882845143214215
16,18,Snowstorm Mountains Meadow-U,Unaltered,14.13400536,0.0,0.702529813816298,0.0,0.0,0.0,0.70390684642489,0.0,0.0,0.0,0.448981608663286,0.0,0.0,0.0,0.702529813816298,0.0,0.0,0.0,0.70390684642489,0.0,0.0,0.0,0.448981608663286,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
17,19,Snowstorm Mountains Mountain Sagebrush Mix,No Meadow,1525.225901,0.95,0.686484172959898,0.6521599643119032,994.6912691637503,0.92875,0.697558601959977,0.6478575515703286,988.1291178135085,1.0,0.385346638433065,0.385346638433065,587.7406738013927,0.95,0.686484172959898,0.6521599643119032,994.6912691637503,0.92875,0.697558601959977,0.6478575515703286,988.1291178135085,1.0,0.385346638433065,0.385346638433065,587.7406738013927,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
18,28,Spring Creek Big Sagebrush,No Meadow,1308.039248,0.20902500000000002,0.710794251218755,0.14857376836100025,194.34032023944897,0.22331250000000002,0.6942088749739,0.15502551939260908,202.77946380711782,0.875,0.436887034085066,0.3822761548244328,500.03221408488264,0.23602499999999998,0.710794251218755,0.16776521314390663,219.44348324131536,0.22331250000000002,0.6942088749739,0.15502551939260908,202.77946380711782,0.935,0.436887034085066,0.40848937686953674,534.3201373364175,25.103163001866392,0.0,34.287923251534835,1.1999999999999995,0.0,30.123795602239657,0.0,41.14550790184178,Winter,41.14550790184178,0.11,4.526005869202596,36.61950203263919
19,29,Spring Creek Big Sagebrush Bottom,No Meadow,125.1947221,0.0,0.752501441572742,0.0,0.0,0.0,0.706635918834768,0.0,0.0,0.975,0.455495158013803,0.44410777906345794,55.599949982297815,0.0,0.752501441572742,0.0,0.0,0.0,0.706635918834768,0.0,0.0,1.0,0.455495158013803,0.455495158013803,57.02558972543366,0.0,0.0,1.4256397431358465,1.1999999999999997,0.0,0.0,0.0,1.7107676917630155,Winter,1.7107676917630155,0.11,0.1881844460939317,1.5225832456690838
20,31,Spring Creek Disturbed Sagebrush,No Meadow,446.5607843,0.0,0.70465370656243,0.0,0.0,0.0,0.70347676586595,0.0,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506,0.0,0.70465370656243,0.0,0.0,0.0,0.70347676586595,0.0,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
21,32,Spring Creek Disturbed Sagebrush 2,No Meadow,373.9286888,0.0,0.709670636703423,0.0,0.0,0.0,0.710093302269989,0.0,0.0,0.0,0.471268109667909,0.0,0.0,0.0,0.709670636703423,0.0,0.0,0.0,0.710093302269989,0.0,0.0,0.0,0.471268109667909,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
22,33,Spring Creek Greasewood Mix,No Meadow,204.8487452,0.0,0.682096361791765,0.0,0.0,0.0,0.65219573837159,0.0,0.0,0.0,0.240438635332574,0.0,0.0,0.0,0.682096361791765,0.0,0.0,0.0,0.65219573837159,0.0,0.0,0.0,0.240438635332574,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
23,34,Spring Creek Meadow-U,Unaltered,5.310591067,0.4125,0.767870913381162,0.3167467517697293,1.6821124704495907,0.87625,0.730830560559812,0.6403902786905352,3.4008508934075965,0.0,0.480089059342509,0.0,0.0,0.4125,0.767870913381162,0.3167467517697293,1.6821124704495907,0.87625,0.730830560559812,0.6403902786905352,3.4008508934075965,0.0,0.480089059342509,0.0,0.0,0.0,0.0,0.0,1.2,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
24,35,Twentyone Creek Big Sagebrush,No Meadow,249.9146028,0.17399499999999998,0.642108004631395,0.11172358226583955,27.921354685360416,0.170775,0.675180297899464,0.11530391537378097,28.816132211923286,1.0,0.403483918867155,0.403483918867155,100.83652331987247,0.17606500000000003,0.642108004631395,0.11305274583542657,28.253532070909987,0.170775,0.675180297899464,0.11530391537378097,28.816132211923286,1.0,0.403483918867155,0.403483918867155,100.83652331987247,0.33217738554957066,0.0,0.0,1.1999999999999997,0.0,0.3986128626594847,0.0,0.0,Breeding,0.3986128626594847,0.11,0.04384741489254332,0.3547654477669414
25,36,Twentyone Creek Disturbed Sagebrush,No Meadow,500.348959,0.0,0.698701726151063,0.0,0.0,0.0,0.703905823108341,0.0,0.0,0.0,0.444427132752857,0.0,0.0,0.0,0.698701726151063,0.0,0.0,0.0,0.703905823108341,0.0,0.0,0.0,0.444427132752857,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
26,37,Twentyone Creek Meadow-U,Unaltered,22.94827031,0.0,0.686800971473615,0.0,0.0,0.0,0.697107342963523,0.0,0.0,0.0,0.43816868992562,0.0,0.0,0.0,0.686800971473615,0.0,0.0,0.0,0.697107342963523,0.0,0.0,0.0,0.43816868992562,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
27,38,Twentyone Creek Mountain Sagebrush Mix,No Meadow,142.5343219,0.0,0.70517669093441,0.0,0.0,0.0,0.703719942466072,0.0,0.0,0.0,0.436946192050573,0.0,0.0,0.0,0.70517669093441,0.0,0.0,0.0,0.703719942466072,0.0,0.0,0.0,0.436946192050573,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
28,39,Water,No Meadow,364.4585975,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,,,,None,,0.11,,
29,40,Chimney Meadow-A,Altered,154.0384046,0.18000000000000002,0.679417742831366,0.1222951937096459,18.83815652928181,0.08846037000000001,0.702729549052867,0.06216371591914977,9.575599624193455,0.0,0.20191590975151,0.0,0.0,0.18000000000000002,0.679417742831366,0.1222951937096459,18.83815652928181,0.08846037000000001,0.702729549052867,0.06216371591914977,9.575599624193455,0.0,0.20191590975151,0.0,0.0,0.0,0.0,0.0,1.2,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
30,42,Snowstorm Mountains Disturbed Sagebrush 2 ,No Meadow,154.2289465,0.0,0.711593423472892,0.0,0.0,0.0,0.699369555616862,0.0,0.0,0.33,0.458586300980682,0.15133347932362506,23.34000308626223,0.0,0.711593423472892,0.0,0.0,0.0,0.699369555616862,0.0,0.0,0.33,0.458586300980682,0.15133347932362506,23.34000308626223,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
31,8888,Existing,No Meadow,3.391214356626252,,0.524200402,,,,0.557546858,,,,0.227503666,,,,0.524200402,,,,0.557546858,,,,0.227503666,,,,,,1.1999999167309574,0.0,,,,None,,0.11,,
